ds,y
11/19/2019 7:30:00 AM,40
11/18/2019 7:30:00 AM,52
11/16/2019 7:30:00 AM,42
11/15/2019 7:30:00 AM,37
11/14/2019 7:30:00 AM,31
11/12/2019 7:30:00 AM,52
11/11/2019 7:30:00 AM,83
11/9/2019 7:30:00 AM,48
11/8/2019 7:30:00 AM,66
11/7/2019 7:30:00 AM,38
11/5/2019 7:30:00 AM,74
11/4/2019 7:45:00 AM,15
11/4/2019 7:30:00 AM,36
11/2/2019 7:45:00 AM,19
11/2/2019 7:30:00 AM,61
10/31/2019 7:45:00 AM,14
10/31/2019 7:15:00 AM,60
10/30/2019 7:30:00 AM,29
10/29/2019 7:45:00 AM,18
10/29/2019 7:15:00 AM,58
10/28/2019 7:45:00 AM,16
10/28/2019 7:15:00 AM,98
10/26/2019 7:45:00 AM,11
10/26/2019 7:15:00 AM,49
10/25/2019 7:45:00 AM,21
10/25/2019 7:15:00 AM,90
10/24/2019 7:45:00 AM,10
10/24/2019 7:15:00 AM,72
10/23/2019 7:30:00 AM,50
10/22/2019 7:45:00 AM,24
10/22/2019 7:15:00 AM,106
10/21/2019 7:45:00 AM,12
10/21/2019 7:15:00 AM,134
10/19/2019 7:45:00 AM,8
10/19/2019 7:15:00 AM,101
10/18/2019 7:45:00 AM,4
10/18/2019 7:15:00 AM,104
10/17/2019 7:45:00 AM,10
10/17/2019 7:15:00 AM,119
10/16/2019 7:30:00 AM,21
10/15/2019 7:45:00 AM,14
10/15/2019 7:15:00 AM,123
10/14/2019 7:45:00 AM,29
10/14/2019 7:15:00 AM,152
10/12/2019 7:45:00 AM,16
10/12/2019 7:15:00 AM,138
10/11/2019 7:45:00 AM,29
10/11/2019 7:15:00 AM,116
10/10/2019 7:45:00 AM,19
10/10/2019 7:16:00 AM,4
10/10/2019 7:15:00 AM,158
10/9/2019 7:30:00 AM,57
10/8/2019 7:45:00 AM,30
10/8/2019 7:31:00 AM,5
10/8/2019 7:15:00 AM,147
10/7/2019 7:45:00 AM,5
10/7/2019 7:15:00 AM,187
10/5/2019 7:45:00 AM,16
10/5/2019 7:15:00 AM,103
10/4/2019 7:45:00 AM,17
10/4/2019 7:15:00 AM,178
10/3/2019 7:45:00 AM,17
10/3/2019 7:15:00 AM,160
10/2/2019 7:30:00 AM,60
10/1/2019 7:45:00 AM,13
10/1/2019 7:15:00 AM,143
9/30/2019 7:45:00 AM,29
9/30/2019 7:15:00 AM,139
9/28/2019 7:45:00 AM,30
9/28/2019 7:15:00 AM,176
9/26/2019 7:45:00 AM,21
9/26/2019 7:15:00 AM,151
9/25/2019 7:30:00 AM,52
9/24/2019 7:45:00 AM,14
9/24/2019 7:15:00 AM,141
9/23/2019 7:45:00 AM,22
9/23/2019 7:15:00 AM,156
9/21/2019 7:45:00 AM,18
9/21/2019 7:15:00 AM,100
9/20/2019 7:45:00 AM,14
9/20/2019 7:15:00 AM,121
9/19/2019 7:45:00 AM,11
9/19/2019 7:15:00 AM,150
9/18/2019 7:30:00 AM,92
9/17/2019 7:45:00 AM,16
9/17/2019 7:15:00 AM,170
9/16/2019 7:45:00 AM,26
9/16/2019 7:15:00 AM,111
9/14/2019 7:45:00 AM,27
9/14/2019 7:15:00 AM,86
9/13/2019 7:45:00 AM,30
9/13/2019 7:15:00 AM,129
9/12/2019 7:45:00 AM,29
9/12/2019 7:15:00 AM,154
9/11/2019 7:30:00 AM,39
9/10/2019 7:45:00 AM,24
9/10/2019 7:15:00 AM,134
9/9/2019 7:45:00 AM,26
9/9/2019 7:15:00 AM,97
9/7/2019 7:45:00 AM,30
9/7/2019 7:15:00 AM,99
9/6/2019 7:45:00 AM,13
9/6/2019 7:15:00 AM,134
9/5/2019 7:45:00 AM,27
9/5/2019 7:15:00 AM,116
9/4/2019 7:30:00 AM,55
9/3/2019 7:45:00 AM,7
9/3/2019 7:15:00 AM,96
9/2/2019 7:45:00 AM,21
9/2/2019 7:15:00 AM,146
8/31/2019 7:45:00 AM,15
8/31/2019 7:15:00 AM,81
8/30/2019 7:45:00 AM,3
8/30/2019 7:15:00 AM,66
8/29/2019 7:45:00 AM,10
8/29/2019 7:15:00 AM,91
8/28/2019 7:30:00 AM,36
8/27/2019 7:45:00 AM,18
8/27/2019 7:15:00 AM,61
8/26/2019 7:45:00 AM,13
8/26/2019 7:15:00 AM,72
8/24/2019 7:45:00 AM,2
8/24/2019 7:15:00 AM,63
8/23/2019 7:45:00 AM,12
8/23/2019 7:15:00 AM,60
8/22/2019 7:45:00 AM,4
8/22/2019 7:15:00 AM,46
8/21/2019 7:30:00 AM,53
8/20/2019 7:45:00 AM,16
8/20/2019 7:15:00 AM,63
8/19/2019 7:45:00 AM,11
8/19/2019 7:15:00 AM,82
8/17/2019 7:45:00 AM,11
8/17/2019 7:15:00 AM,76
8/16/2019 7:45:00 AM,15
8/16/2019 7:15:00 AM,100
8/13/2019 10:00:00 AM,7
8/13/2019 7:45:00 AM,18
8/13/2019 7:15:00 AM,96
8/12/2019 7:45:00 AM,6
8/12/2019 7:15:00 AM,103
8/10/2019 7:45:00 AM,7
8/10/2019 7:15:00 AM,50
8/9/2019 7:15:00 AM,92
8/8/2019 7:45:00 AM,8
8/8/2019 7:15:00 AM,104
8/7/2019 7:30:00 AM,53
8/6/2019 7:45:00 AM,7
8/6/2019 7:15:00 AM,67
8/5/2019 7:45:00 AM,25
8/5/2019 7:15:00 AM,104
8/3/2019 7:45:00 AM,21
8/3/2019 7:15:00 AM,66
8/2/2019 7:45:00 AM,18
8/2/2019 7:15:00 AM,78
8/1/2019 7:45:00 AM,19
8/1/2019 7:15:00 AM,139
7/31/2019 7:30:00 AM,22
7/30/2019 7:45:00 AM,9
7/30/2019 7:15:00 AM,133
7/29/2019 7:45:00 AM,29
7/29/2019 7:15:00 AM,136
7/27/2019 7:45:00 AM,8
7/27/2019 7:15:00 AM,117
7/26/2019 7:45:00 AM,27
7/26/2019 7:15:00 AM,122
7/25/2019 7:45:00 AM,9
7/25/2019 7:15:00 AM,84
7/24/2019 7:30:00 AM,63
7/23/2019 7:45:00 AM,18
7/23/2019 7:15:00 AM,150
7/22/2019 7:45:00 AM,30
7/22/2019 7:15:00 AM,131
7/20/2019 7:45:00 AM,10
7/20/2019 7:20:00 AM,6
7/20/2019 7:15:00 AM,111
7/19/2019 7:45:00 AM,4
7/19/2019 7:15:00 AM,109
7/18/2019 7:45:00 AM,21
7/18/2019 7:15:00 AM,134
7/17/2019 7:30:00 AM,64
7/16/2019 7:45:00 AM,35
7/16/2019 7:15:00 AM,148
7/15/2019 7:45:00 AM,43
7/15/2019 7:15:00 AM,108
7/13/2019 7:45:00 AM,12
7/13/2019 7:15:00 AM,91
7/12/2019 7:45:00 AM,43
7/12/2019 7:15:00 AM,142
7/11/2019 7:45:00 AM,20
7/11/2019 7:15:00 AM,148
7/10/2019 7:30:00 AM,82
7/9/2019 7:45:00 AM,41
7/9/2019 7:15:00 AM,220
7/8/2019 7:45:00 AM,31
7/8/2019 7:15:00 AM,171
7/6/2019 7:45:00 AM,14
7/6/2019 7:15:00 AM,153
7/5/2019 7:45:00 AM,34
7/5/2019 7:15:00 AM,141
7/4/2019 7:45:00 AM,28
7/4/2019 7:15:00 AM,179
7/3/2019 7:30:00 AM,112
7/2/2019 7:45:00 AM,33
7/2/2019 7:15:00 AM,177
7/1/2019 7:45:00 AM,98
7/1/2019 7:15:00 AM,78
6/28/2019 7:45:00 AM,72
6/28/2019 7:15:00 AM,96
6/27/2019 7:45:00 AM,26
6/27/2019 7:15:00 AM,164
6/26/2019 7:30:00 AM,59
6/25/2019 7:45:00 AM,59
6/25/2019 7:15:00 AM,167
6/24/2019 7:45:00 AM,98
6/24/2019 7:15:00 AM,94
6/22/2019 7:45:00 AM,30
6/22/2019 7:15:00 AM,95
6/21/2019 7:45:00 AM,29
6/21/2019 7:15:00 AM,219
6/20/2019 7:45:00 AM,42
6/20/2019 7:15:00 AM,166
6/19/2019 7:30:00 AM,57
6/18/2019 7:45:00 AM,45
6/18/2019 7:15:00 AM,195
6/17/2019 7:45:00 AM,60
6/17/2019 7:15:00 AM,129
6/15/2019 7:45:00 AM,104
6/15/2019 7:15:00 AM,28
6/14/2019 7:45:00 AM,26
6/14/2019 7:15:00 AM,143
6/13/2019 7:45:00 AM,29
6/13/2019 7:15:00 AM,209
6/12/2019 7:30:00 AM,74
6/11/2019 7:45:00 AM,10
6/11/2019 7:15:00 AM,206
6/10/2019 7:45:00 AM,44
6/10/2019 7:15:00 AM,134
6/8/2019 7:45:00 AM,15
6/8/2019 7:15:00 AM,120
6/7/2019 7:45:00 AM,23
6/7/2019 7:15:00 AM,121
6/6/2019 7:45:00 AM,16
6/6/2019 7:15:00 AM,137
6/5/2019 7:30:00 AM,32
6/4/2019 7:45:00 AM,15
6/4/2019 7:15:00 AM,201
6/3/2019 7:45:00 AM,38
6/3/2019 7:15:00 AM,102
6/1/2019 7:45:00 AM,15
6/1/2019 7:15:00 AM,130
5/31/2019 7:45:00 AM,24
5/31/2019 7:15:00 AM,109
5/30/2019 7:45:00 AM,28
5/30/2019 7:15:00 AM,154
5/29/2019 7:30:00 AM,57
5/28/2019 7:45:00 AM,29
5/28/2019 7:15:00 AM,193
5/27/2019 7:45:00 AM,29
5/27/2019 7:15:00 AM,141
5/25/2019 7:45:00 AM,14
5/25/2019 7:15:00 AM,113
5/24/2019 7:45:00 AM,21
5/24/2019 7:15:00 AM,163
5/23/2019 7:45:00 AM,14
5/23/2019 7:15:00 AM,149
5/22/2019 7:30:00 AM,39
5/21/2019 7:45:00 AM,15
5/21/2019 7:15:00 AM,142
5/20/2019 7:45:00 AM,27
5/20/2019 7:15:00 AM,138
5/18/2019 7:45:00 AM,13
5/18/2019 7:15:00 AM,122
5/17/2019 7:45:00 AM,13
5/17/2019 7:15:00 AM,95
5/16/2019 7:45:00 AM,14
5/16/2019 7:15:00 AM,165
5/15/2019 7:30:00 AM,20
5/14/2019 7:45:00 AM,24
5/14/2019 7:15:00 AM,122
5/13/2019 7:45:00 AM,23
5/13/2019 7:15:00 AM,158
5/11/2019 7:45:00 AM,11
5/11/2019 7:15:00 AM,120
5/10/2019 7:45:00 AM,14
5/10/2019 7:15:00 AM,76
5/9/2019 7:45:00 AM,13
5/9/2019 7:15:00 AM,124
5/8/2019 7:30:00 AM,12
5/7/2019 7:45:00 AM,14
5/7/2019 7:15:00 AM,150
5/6/2019 7:45:00 AM,30
5/6/2019 7:15:00 AM,130
5/4/2019 7:45:00 AM,7
5/4/2019 7:15:00 AM,78
5/3/2019 7:45:00 AM,16
5/3/2019 7:15:00 AM,76
5/2/2019 7:45:00 AM,15
5/2/2019 7:15:00 AM,109
4/30/2019 7:45:00 AM,10
4/30/2019 7:15:00 AM,78
4/29/2019 7:45:00 AM,3
4/29/2019 7:15:00 AM,120
4/27/2019 7:45:00 AM,2
4/27/2019 7:15:00 AM,77
4/26/2019 7:45:00 AM,8
4/26/2019 7:15:00 AM,89
4/25/2019 7:45:00 AM,20
4/25/2019 7:15:00 AM,147
4/24/2019 7:30:00 AM,19
4/23/2019 7:45:00 AM,30
4/23/2019 7:15:00 AM,143
4/20/2019 7:45:00 AM,11
4/20/2019 7:15:00 AM,104
4/19/2019 7:45:00 AM,12
4/19/2019 7:15:00 AM,137
4/18/2019 7:15:00 AM,13
4/17/2019 7:30:00 AM,21
4/16/2019 7:45:00 AM,3
4/15/2019 7:45:00 AM,7
4/15/2019 7:15:00 AM,149
4/13/2019 7:45:00 AM,27
4/13/2019 7:15:00 AM,63
4/12/2019 7:45:00 AM,28
4/12/2019 7:15:00 AM,74
4/11/2019 7:45:00 AM,14
4/11/2019 7:15:00 AM,82
4/8/2019 7:45:00 AM,27
4/8/2019 7:15:00 AM,117
4/6/2019 7:45:00 AM,28
4/6/2019 7:15:00 AM,89
4/5/2019 7:45:00 AM,23
4/5/2019 7:15:00 AM,71
4/4/2019 7:46:00 AM,4
4/4/2019 7:45:00 AM,28
4/4/2019 7:15:00 AM,56
4/2/2019 7:45:00 AM,12
4/2/2019 7:15:00 AM,60
4/1/2019 7:45:00 AM,28
4/1/2019 7:15:00 AM,51
3/30/2019 7:45:00 AM,11
3/30/2019 7:15:00 AM,45
3/29/2019 7:45:00 AM,12
3/29/2019 7:15:00 AM,25
3/28/2019 7:45:00 AM,14
3/28/2019 7:15:00 AM,63
3/26/2019 7:45:00 AM,27
3/26/2019 7:15:00 AM,72
3/25/2019 7:45:00 AM,15
3/25/2019 7:15:00 AM,56
3/23/2019 7:45:00 AM,40
3/23/2019 7:15:00 AM,28
3/22/2019 7:45:00 AM,15
3/22/2019 7:15:00 AM,52
3/21/2019 7:45:00 AM,28
3/21/2019 7:15:00 AM,60
3/18/2019 7:45:00 AM,29
3/18/2019 7:15:00 AM,102
3/16/2019 7:45:00 AM,14
3/16/2019 7:15:00 AM,42
3/15/2019 7:45:00 AM,15
3/15/2019 7:15:00 AM,37
3/14/2019 7:45:00 AM,8
3/14/2019 7:15:00 AM,61
3/13/2019 7:15:00 AM,4
3/12/2019 7:45:00 AM,24
3/12/2019 7:15:00 AM,32
3/11/2019 7:45:00 AM,24
3/11/2019 7:15:00 AM,55
3/9/2019 7:45:00 AM,28
3/9/2019 7:15:00 AM,22
3/8/2019 7:45:00 AM,28
3/8/2019 7:15:00 AM,36
3/7/2019 7:45:00 AM,14
3/7/2019 7:15:00 AM,32
3/5/2019 7:45:00 AM,14
3/5/2019 7:15:00 AM,39
3/4/2019 7:45:00 AM,14
3/4/2019 7:15:00 AM,32
3/2/2019 7:45:00 AM,14
3/2/2019 7:15:00 AM,6
3/1/2019 7:45:00 AM,12
3/1/2019 7:15:00 AM,8
2/28/2019 7:30:00 AM,17
2/26/2019 7:30:00 AM,23
2/25/2019 7:30:00 AM,22
2/23/2019 7:30:00 AM,28
2/21/2019 7:30:00 AM,39
2/19/2019 7:30:00 AM,17
2/18/2019 7:30:00 AM,57
2/16/2019 7:30:00 AM,43
2/15/2019 7:30:00 AM,22
2/14/2019 7:30:00 AM,19
2/12/2019 7:30:00 AM,33
2/9/2019 7:30:00 AM,35
2/8/2019 7:30:00 AM,11
2/7/2019 7:30:00 AM,26
2/5/2019 7:30:00 AM,7
2/4/2019 7:30:00 AM,8
2/2/2019 7:30:00 AM,14
2/1/2019 7:30:00 AM,4
1/31/2019 7:30:00 AM,4
1/29/2019 7:30:00 AM,5
1/28/2019 7:30:00 AM,12
1/26/2019 7:30:00 AM,16
1/25/2019 7:30:00 AM,1
1/24/2019 7:30:00 AM,10
1/22/2019 7:30:00 AM,22
1/21/2019 7:30:00 AM,6
1/19/2019 7:30:00 AM,15
1/18/2019 7:30:00 AM,17
1/17/2019 7:30:00 AM,7
1/15/2019 7:30:00 AM,21
1/14/2019 7:30:00 AM,10
1/12/2019 7:30:00 AM,14
1/11/2019 7:30:00 AM,25
1/10/2019 7:30:00 AM,20
1/8/2019 7:30:00 AM,12
1/7/2019 7:30:00 AM,27
1/5/2019 7:30:00 AM,26
1/4/2019 7:30:00 AM,33
1/3/2019 7:30:00 AM,61
12/31/2018 7:30:00 AM,110
12/29/2018 7:30:00 AM,50
12/28/2018 7:30:00 AM,80
12/27/2018 7:30:00 AM,99
12/24/2018 7:30:00 AM,149
12/22/2018 7:30:00 AM,16
12/21/2018 7:30:00 AM,14
12/20/2018 7:30:00 AM,28
12/18/2018 7:30:00 AM,45
12/17/2018 7:30:00 AM,20
12/15/2018 7:30:00 AM,13
12/14/2018 7:30:00 AM,11
12/13/2018 7:30:00 AM,15
12/11/2018 7:30:00 AM,12
12/10/2018 7:30:00 AM,16
12/7/2018 7:30:00 AM,28
12/6/2018 7:30:00 AM,45
12/4/2018 7:30:00 AM,27
12/3/2018 7:30:00 AM,32
12/1/2018 7:30:00 AM,23
11/30/2018 7:30:00 AM,24
11/29/2018 7:30:00 AM,31
11/27/2018 7:30:00 AM,25
11/26/2018 7:30:00 AM,36
11/24/2018 7:30:00 AM,26
11/23/2018 7:30:00 AM,66
11/22/2018 7:30:00 AM,61
11/20/2018 7:30:00 AM,73
11/19/2018 7:30:00 AM,83
11/17/2018 7:30:00 AM,34
11/16/2018 7:30:00 AM,42
11/15/2018 7:30:00 AM,32
11/13/2018 7:30:00 AM,42
11/12/2018 7:30:00 AM,47
11/10/2018 7:30:00 AM,49
11/8/2018 7:30:00 AM,46
11/6/2018 7:30:00 AM,63
11/5/2018 7:30:00 AM,81
11/3/2018 7:30:00 AM,98
10/30/2018 8:00:00 AM,45
10/30/2018 7:30:00 AM,43
10/29/2018 8:00:00 AM,53
10/29/2018 7:30:00 AM,88
10/27/2018 8:00:00 AM,15
10/27/2018 7:30:00 AM,49
10/26/2018 8:00:00 AM,34
10/26/2018 7:30:00 AM,55
10/25/2018 8:00:00 AM,46
10/25/2018 7:30:00 AM,94
10/23/2018 8:00:00 AM,42
10/23/2018 7:30:00 AM,112
10/22/2018 8:00:00 AM,58
10/22/2018 7:30:00 AM,70
10/20/2018 8:00:00 AM,48
10/20/2018 7:30:00 AM,51
10/19/2018 8:00:00 AM,26
10/19/2018 7:30:00 AM,77
10/18/2018 8:00:00 AM,20
10/18/2018 7:30:00 AM,110
10/16/2018 8:00:00 AM,66
10/16/2018 7:30:00 AM,98
10/15/2018 8:00:00 AM,69
10/15/2018 7:30:00 AM,122
10/13/2018 8:00:00 AM,33
10/13/2018 7:30:00 AM,83
10/12/2018 8:00:00 AM,44
10/12/2018 7:30:00 AM,99
10/11/2018 8:00:00 AM,75
10/11/2018 7:30:00 AM,102
10/9/2018 8:00:00 AM,66
10/9/2018 7:30:00 AM,120
10/8/2018 8:00:00 AM,68
10/8/2018 7:30:00 AM,179
10/6/2018 8:00:00 AM,69
10/6/2018 7:30:00 AM,44
10/5/2018 8:00:00 AM,64
10/5/2018 7:30:00 AM,97
10/4/2018 8:00:00 AM,80
10/4/2018 7:30:00 AM,153
10/2/2018 8:00:00 AM,74
10/2/2018 7:30:00 AM,124
10/1/2018 8:00:00 AM,73
10/1/2018 7:30:00 AM,126
9/29/2018 7:30:00 AM,71
9/29/2018 7:00:00 AM,85
9/28/2018 7:30:00 AM,166
9/28/2018 7:00:00 AM,126
9/25/2018 7:30:00 AM,96
9/25/2018 7:00:00 AM,148
9/24/2018 7:30:00 AM,81
9/24/2018 7:00:00 AM,208
9/22/2018 7:30:00 AM,105
9/22/2018 7:00:00 AM,61
9/21/2018 7:30:00 AM,62
9/21/2018 7:00:00 AM,108
9/20/2018 7:30:00 AM,80
9/20/2018 7:00:00 AM,88
9/18/2018 7:30:00 AM,102
9/18/2018 7:00:00 AM,84
9/17/2018 7:30:00 AM,24
9/17/2018 7:00:00 AM,135
9/15/2018 7:30:00 AM,52
9/15/2018 7:00:00 AM,79
9/14/2018 7:30:00 AM,70
9/14/2018 7:00:00 AM,55
9/13/2018 8:00:00 AM,2
9/13/2018 7:30:00 AM,82
9/13/2018 7:00:00 AM,81
9/11/2018 7:30:00 AM,69
9/11/2018 7:00:00 AM,90
9/10/2018 7:30:00 AM,48
9/10/2018 7:00:00 AM,80
9/8/2018 7:30:00 AM,43
9/8/2018 7:00:00 AM,84
9/7/2018 7:30:00 AM,52
9/7/2018 7:00:00 AM,42
9/6/2018 7:30:00 AM,51
9/6/2018 7:00:00 AM,105
9/4/2018 7:30:00 AM,56
9/4/2018 7:00:00 AM,70
9/3/2018 7:30:00 AM,62
9/3/2018 7:00:00 AM,60
9/1/2018 7:30:00 AM,24
9/1/2018 7:00:00 AM,46
8/31/2018 8:00:00 AM,39
8/31/2018 7:30:00 AM,61
8/30/2018 8:00:00 AM,37
8/30/2018 7:30:00 AM,66
8/28/2018 8:00:00 AM,48
8/28/2018 7:30:00 AM,60
8/27/2018 8:00:00 AM,57
8/27/2018 7:30:00 AM,42
8/25/2018 8:00:00 AM,16
8/25/2018 7:30:00 AM,51
8/24/2018 8:00:00 AM,33
8/24/2018 7:30:00 AM,54
8/23/2018 8:00:00 AM,28
8/23/2018 7:30:00 AM,79
8/21/2018 8:00:00 AM,44
8/21/2018 7:30:00 AM,84
8/20/2018 8:00:00 AM,36
8/20/2018 7:30:00 AM,52
8/18/2018 8:00:00 AM,28
8/18/2018 7:30:00 AM,66
8/17/2018 8:00:00 AM,33
8/17/2018 7:30:00 AM,56
8/16/2018 8:00:00 AM,67
8/16/2018 7:30:00 AM,56
8/13/2018 8:00:00 AM,70
8/13/2018 7:30:00 AM,148
8/11/2018 8:00:00 AM,15
8/11/2018 7:30:00 AM,61
8/10/2018 8:00:00 AM,64
8/10/2018 7:30:00 AM,64
8/9/2018 8:00:00 AM,39
8/9/2018 7:30:00 AM,115
8/7/2018 8:00:00 AM,51
8/7/2018 7:30:00 AM,107
8/6/2018 8:00:00 AM,41
8/6/2018 7:30:00 AM,68
8/4/2018 8:00:00 AM,42
8/4/2018 7:30:00 AM,40
8/3/2018 8:00:00 AM,47
8/3/2018 7:30:00 AM,55
8/2/2018 8:00:00 AM,48
8/2/2018 7:30:00 AM,56
7/31/2018 8:00:00 AM,43
7/31/2018 7:30:00 AM,69
7/30/2018 8:00:00 AM,66
7/30/2018 7:30:00 AM,106
7/28/2018 8:00:00 AM,43
7/28/2018 7:30:00 AM,69
7/27/2018 8:00:00 AM,41
7/27/2018 7:30:00 AM,36
7/26/2018 8:00:00 AM,67
7/26/2018 7:30:00 AM,90
7/24/2018 8:00:00 AM,50
7/24/2018 7:30:00 AM,66
7/23/2018 8:00:00 AM,87
7/23/2018 7:30:00 AM,94
7/21/2018 8:00:00 AM,54
7/21/2018 7:30:00 AM,44
7/20/2018 8:00:00 AM,32
7/20/2018 7:30:00 AM,54
7/19/2018 8:00:00 AM,103
7/19/2018 7:30:00 AM,97
7/17/2018 8:00:00 AM,75
7/17/2018 7:30:00 AM,112
7/16/2018 8:00:00 AM,78
7/16/2018 7:30:00 AM,103
7/14/2018 8:00:00 AM,37
7/14/2018 7:30:00 AM,78
7/13/2018 8:00:00 AM,69
7/13/2018 7:30:00 AM,83
7/12/2018 8:00:00 AM,60
7/12/2018 7:30:00 AM,115
7/10/2018 8:00:00 AM,102
7/10/2018 7:30:00 AM,79
7/9/2018 8:00:00 AM,77
7/9/2018 7:30:00 AM,123
7/7/2018 8:00:00 AM,54
7/7/2018 7:30:00 AM,91
7/6/2018 8:00:00 AM,67
7/6/2018 7:30:00 AM,102
7/5/2018 8:00:00 AM,123
7/5/2018 7:30:00 AM,153
7/3/2018 8:00:00 AM,93
7/3/2018 7:30:00 AM,181
7/2/2018 8:00:00 AM,53
7/2/2018 7:30:00 AM,112
6/30/2018 8:00:00 AM,43
6/30/2018 7:30:00 AM,126
6/28/2018 8:00:00 AM,72
6/28/2018 7:30:00 AM,167
6/26/2018 8:00:00 AM,63
6/26/2018 7:30:00 AM,196
6/25/2018 8:00:00 AM,82
6/25/2018 7:30:00 AM,113
6/23/2018 8:00:00 AM,83
6/23/2018 7:30:00 AM,111
6/22/2018 8:00:00 AM,70
6/22/2018 7:30:00 AM,164
6/21/2018 8:00:00 AM,103
6/21/2018 7:30:00 AM,165
6/19/2018 8:00:00 AM,55
6/19/2018 7:30:00 AM,126
6/18/2018 8:00:00 AM,65
6/18/2018 7:30:00 AM,129
6/16/2018 8:00:00 AM,68
6/16/2018 7:30:00 AM,84
6/15/2018 8:00:00 AM,47
6/15/2018 7:30:00 AM,69
6/14/2018 8:00:00 AM,68
6/14/2018 7:30:00 AM,149
6/12/2018 8:00:00 AM,80
6/12/2018 7:30:00 AM,143
6/11/2018 8:00:00 AM,56
6/11/2018 7:30:00 AM,124
6/9/2018 8:00:00 AM,76
6/9/2018 7:30:00 AM,78
6/8/2018 8:00:00 AM,70
6/8/2018 7:30:00 AM,63
6/7/2018 8:00:00 AM,61
6/7/2018 7:30:00 AM,108
6/5/2018 8:00:00 AM,83
6/5/2018 7:30:00 AM,116
6/4/2018 8:00:00 AM,62
6/4/2018 7:30:00 AM,117
6/2/2018 8:00:00 AM,36
6/2/2018 7:30:00 AM,102
6/1/2018 8:00:00 AM,46
6/1/2018 7:30:00 AM,108
5/31/2018 8:00:00 AM,71
5/31/2018 7:30:00 AM,139
5/29/2018 8:00:00 AM,70
5/29/2018 7:30:00 AM,141
5/28/2018 8:00:00 AM,84
5/28/2018 7:30:00 AM,155
5/26/2018 8:00:00 AM,62
5/26/2018 7:30:00 AM,90
5/25/2018 8:00:00 AM,83
5/25/2018 7:30:00 AM,110
5/24/2018 8:00:00 AM,54
5/24/2018 7:30:00 AM,143
5/22/2018 8:00:00 AM,75
5/22/2018 7:30:00 AM,83
5/21/2018 8:00:00 AM,48
5/21/2018 7:30:00 AM,110
5/19/2018 8:00:00 AM,68
5/19/2018 7:30:00 AM,101
5/18/2018 8:00:00 AM,57
5/18/2018 7:30:00 AM,67
5/17/2018 8:00:00 AM,80
5/17/2018 7:30:00 AM,98
5/15/2018 8:00:00 AM,47
5/15/2018 7:30:00 AM,102
5/14/2018 8:00:00 AM,46
5/14/2018 7:30:00 AM,126
5/12/2018 8:00:00 AM,36
5/12/2018 7:30:00 AM,64
5/11/2018 8:00:00 AM,58
5/11/2018 7:30:00 AM,70
5/10/2018 8:00:00 AM,73
5/10/2018 7:30:00 AM,103
5/8/2018 8:00:00 AM,47
5/8/2018 7:30:00 AM,84
5/7/2018 8:00:00 AM,57
5/7/2018 7:30:00 AM,97
5/5/2018 8:00:00 AM,41
5/5/2018 7:30:00 AM,48
5/4/2018 8:00:00 AM,35
5/4/2018 7:30:00 AM,68
5/3/2018 8:00:00 AM,47
5/3/2018 7:30:00 AM,97
4/30/2018 8:00:00 AM,52
4/30/2018 7:30:00 AM,108
4/28/2018 8:00:00 AM,28
4/28/2018 7:30:00 AM,65
