"ds","y"
"2016-01-02","13"
"2016-01-04","12"
"2016-01-06","7"
"2016-01-09","2"
"2016-01-13","0"
"2016-01-16","0"
"2016-01-20","2"
"2016-01-23","2"
"2016-01-27","0"
"2016-01-30","0"
"2016-02-03","6"
"2016-02-06","2"
"2016-02-10","5"
"2016-02-13","0"
"2016-02-17","8"
"2016-02-20","4"
"2016-02-22","2"
"2016-02-27","14"
"2016-03-01","0"
"2016-03-03","0"
"2016-03-05","0"
"2016-03-10","12"
"2016-03-12","10"
"2016-03-15","12"
"2016-03-17","9"
"2016-03-19","15"
"2016-03-22","13"
"2016-03-24","9"
"2016-03-26","26"
"2016-03-29","14"
"2016-03-31","25"
"2016-04-02","8"
"2016-04-05","15"
"2016-04-07","9"
"2016-04-09","20"
"2016-04-12","12"
"2016-04-14","27"
"2016-04-16","8"
"2016-04-19","29"
"2016-04-21","21"
"2016-04-23","22"
"2016-04-26","14"
"2016-04-28","26"
"2016-04-30","29"
"2016-05-02","11"
"2016-05-03","22"
"2016-05-05","26"
"2016-05-07","25"
"2016-05-09","21"
"2016-05-10","12"
"2016-05-12","29"
"2016-05-14","29"
"2016-05-16","14"
"2016-05-17","20"
"2016-05-19","28"
"2016-05-21","40"
"2016-05-23","16"
"2016-05-24","27"
"2016-05-26","35"
"2016-05-28","24"
"2016-05-30","27"
"2016-05-31","30"
"2016-06-04","29"
"2016-06-06","26"
"2016-06-07","22"
"2016-06-09","30"
"2016-06-10","2"
"2016-06-11","61"
"2016-06-13","28"
"2016-06-14","47"
"2016-06-16","42"
"2016-06-18","60"
"2016-06-20","30"
"2016-06-21","22"
"2016-06-23","60"
"2016-06-25","15"
"2016-06-27","31"
"2016-06-28","60"
"2016-06-30","30"
"2016-07-02","44"
"2016-07-04","38"
"2016-07-05","34"
"2016-07-06","3"
"2016-07-07","30"
"2016-07-09","45"
"2016-07-11","31"
"2016-07-12","33"
"2016-07-14","30"
"2016-07-16","29"
"2016-07-18","23"
"2016-07-19","32"
"2016-07-21","20"
"2016-07-23","27"
"2016-07-25","24"
"2016-07-26","29"
"2016-07-28","30"
"2016-07-30","30"
"2016-08-01","14"
"2016-08-02","30"
"2016-08-04","29"
"2016-08-06","30"
"2016-08-08","21"
"2016-08-09","28"
"2016-08-11","28"
"2016-08-13","14"
"2016-08-16","10"
"2016-08-18","15"
"2016-08-20","29"
"2016-08-22","14"
"2016-08-23","30"
"2016-08-25","22"
"2016-08-27","29"
"2016-08-29","29"
"2016-08-30","23"
"2016-09-01","24"
"2016-09-03","30"
"2016-09-05","29"
"2016-09-06","30"
"2016-09-08","27"
"2016-09-09","7"
"2016-09-10","34"
"2016-09-12","44"
"2016-09-13","57"
"2016-09-15","61"
"2016-09-17","44"
"2016-09-19","55"
"2016-09-20","45"
"2016-09-21","2"
"2016-09-22","44"
"2016-09-24","45"
"2016-09-26","43"
"2016-09-27","44"
"2016-09-29","34"
"2016-10-01","29"
"2016-10-03","51"
"2016-10-04","44"
"2016-10-06","28"
"2016-10-08","30"
"2016-10-10","30"
"2016-10-11","43"
"2016-10-13","43"
"2016-10-15","34"
"2016-10-17","15"
"2016-10-18","34"
"2016-10-20","14"
"2016-10-22","22"
"2016-10-24","13"
"2016-10-25","22"
"2016-10-27","29"
"2016-10-29","15"
"2016-10-31","27"
"2016-11-03","6"
"2016-11-05","29"
"2016-11-07","23"
"2016-11-10","16"
"2016-11-12","11"
"2016-11-14","18"
"2016-11-17","15"
"2016-11-19","14"
"2016-11-21","27"
"2016-11-24","15"
"2016-11-26","6"
"2016-11-28","16"
"2016-12-01","7"
"2016-12-03","7"
"2016-12-05","8"
"2016-12-10","14"
"2016-12-12","4"
"2016-12-14","2"
"2016-12-15","12"
"2016-12-17","6"
"2016-12-19","30"
"2016-12-21","4"
"2016-12-22","10"
"2016-12-23","9"
"2016-12-28","45"
"2016-12-29","34"
"2016-12-30","17"
"2017-01-02","22"
"2017-01-04","9"
"2017-01-05","4"
"2017-01-07","12"
"2017-01-09","6"
"2017-01-12","11"
"2017-01-14","12"
"2017-01-19","4"
"2017-01-21","10"
"2017-01-26","5"
"2017-01-28","13"
"2017-02-02","6"
"2017-02-04","9"
"2017-02-09","11"
"2017-02-11","23"
"2017-02-16","19"
"2017-02-23","6"
"2017-02-25","21"
"2017-02-27","3"
"2017-03-02","12"
"2017-03-03","18"
"2017-03-05","26"
"2017-03-07","16"
"2017-03-09","24"
"2017-03-10","10"
"2017-03-12","24"
"2017-03-14","19"
"2017-03-16","16"
"2017-03-17","38"
"2017-03-19","37"
"2017-03-21","25"
"2017-03-23","25"
"2017-03-24","24"
"2017-03-26","42"
"2017-03-28","34"
"2017-03-30","23"
"2017-03-31","34"
"2017-04-02","9"
"2017-04-04","70"
"2017-04-06","41"
"2017-04-07","29"
"2017-04-09","13"
"2017-04-11","69"
"2017-04-13","11"
"2017-04-14","52"
"2017-04-15","24"
"2017-04-18","61"
"2017-04-20","18"
"2017-04-21","26"
"2017-04-22","0"
"2017-04-23","51"
"2017-04-24","16"
"2017-04-27","35"
"2017-04-28","40"
"2017-04-29","0"
"2017-04-30","52"
"2017-05-02","36"
"2017-05-04","40"
"2017-05-05","14"
"2017-05-06","56"
"2017-05-07","48"
"2017-05-08","30"
"2017-05-09","36"
"2017-05-11","54"
"2017-05-12","56"
"2017-05-13","28"
"2017-05-14","47"
"2017-05-15","39"
"2017-05-16","38"
"2017-05-17","43"
"2017-05-18","59"
"2017-05-19","28"
"2017-05-20","49"
"2017-05-21","49"
"2017-05-22","75"
"2017-05-23","53"
"2017-05-24","36"
"2017-05-25","38"
"2017-05-26","38"
"2017-05-27","37"
"2017-05-29","36"
"2017-05-30","20"
"2017-05-31","49"
"2017-06-01","49"
"2017-06-03","92"
"2017-06-04","18"
"2017-06-06","35"
"2017-06-07","37"
"2017-06-08","38"
"2017-06-09","25"
"2017-06-10","62"
"2017-06-11","54"
"2017-06-12","48"
"2017-06-13","66"
"2017-06-14","49"
"2017-06-15","43"
"2017-06-18","63"
"2017-06-19","41"
"2017-06-20","33"
"2017-06-21","26"
"2017-06-22","56"
"2017-06-23","46"
"2017-06-24","77"
"2017-06-25","50"
"2017-06-26","59"
"2017-06-27","46"
"2017-06-28","45"
"2017-06-29","38"
"2017-06-30","36"
"2017-07-01","66"
"2017-07-02","56"
"2017-07-03","57"
"2017-07-04","29"
"2017-07-05","34"
"2017-07-06","41"
"2017-07-07","46"
"2017-07-08","93"
"2017-07-09","51"
"2017-07-10","73"
"2017-07-11","51"
"2017-07-12","48"
"2017-07-13","49"
"2017-07-14","25"
"2017-07-15","74"
"2017-07-16","76"
"2017-07-17","41"
"2017-07-18","46"
"2017-07-19","34"
"2017-07-20","39"
"2017-07-21","64"
"2017-07-22","89"
"2017-07-23","64"
"2017-07-24","41"
"2017-07-25","29"
"2017-07-26","40"
"2017-07-27","28"
"2017-07-28","35"
"2017-07-29","43"
"2017-07-30","46"
"2017-07-31","29"
"2017-08-01","50"
"2017-08-02","32"
"2017-08-03","40"
"2017-08-04","19"
"2017-08-05","29"
"2017-08-06","38"
"2017-08-07","32"
"2017-08-08","27"
"2017-08-09","37"
"2017-08-10","22"
"2017-08-11","25"
"2017-08-12","28"
"2017-08-13","41"
"2017-08-14","51"
"2017-08-16","48"
"2017-08-17","26"
"2017-08-18","25"
"2017-08-19","25"
"2017-08-20","51"
"2017-08-21","36"
"2017-08-22","26"
"2017-08-23","26"
"2017-08-24","46"
"2017-08-25","50"
"2017-08-26","21"
"2017-08-27","22"
"2017-08-28","37"
"2017-08-29","51"
"2017-08-30","27"
"2017-08-31","31"
"2017-09-01","26"
"2017-09-02","49"
"2017-09-03","49"
"2017-09-04","45"
"2017-09-05","36"
"2017-09-06","24"
"2017-09-07","42"
"2017-09-08","60"
"2017-09-09","71"
"2017-09-10","70"
"2017-09-11","49"
"2017-09-12","44"
"2017-09-13","41"
"2017-09-14","64"
"2017-09-15","49"
"2017-09-16","77"
"2017-09-17","49"
"2017-09-18","49"
"2017-09-19","49"
"2017-09-20","37"
"2017-09-21","65"
"2017-09-22","20"
"2017-09-23","70"
"2017-09-24","49"
"2017-09-25","75"
"2017-09-26","50"
"2017-09-27","39"
"2017-09-28","42"
"2017-09-29","73"
"2017-09-30","61"
"2017-10-03","74"
"2017-10-04","53"
"2017-10-05","36"
"2017-10-07","50"
"2017-10-08","51"
"2017-10-09","48"
"2017-10-10","36"
"2017-10-11","24"
"2017-10-12","28"
"2017-10-13","33"
"2017-10-14","40"
"2017-10-15","40"
"2017-10-16","37"
"2017-10-17","24"
"2017-10-18","33"
"2017-10-19","41"
"2017-10-20","50"
"2017-10-21","26"
"2017-10-22","48"
"2017-10-23","39"
"2017-10-24","26"
"2017-10-25","13"
"2017-10-26","36"
"2017-10-27","47"
"2017-10-28","46"
"2017-10-29","0"
"2017-10-30","35"
"2017-10-31","25"
"2017-11-02","40"
"2017-11-03","6"
"2017-11-04","29"
"2017-11-06","25"
"2017-11-07","14"
"2017-11-09","9"
"2017-11-10","15"
"2017-11-11","26"
"2017-11-13","21"
"2017-11-14","17"
"2017-11-16","21"
"2017-11-17","18"
"2017-11-18","19"
"2017-11-20","25"
"2017-11-21","26"
"2017-11-23","32"
"2017-11-24","21"
"2017-11-25","29"
"2017-11-27","15"
"2017-11-28","13"
"2017-11-30","14"
"2017-12-01","6"
"2017-12-02","17"
"2017-12-04","17"
"2017-12-05","7"
"2017-12-07","0"
"2017-12-08","22"
"2017-12-09","8"
"2017-12-11","15"
"2017-12-12","12"
"2017-12-14","12"
"2017-12-15","7"
"2017-12-16","22"
"2017-12-18","13"
"2017-12-19","20"
"2017-12-21","19"
"2017-12-22","14"
"2017-12-23","35"
"2017-12-26","30"
"2017-12-28","25"
"2017-12-29","43"
"2017-12-30","24"
"2018-01-02","27"
"2018-01-04","29"
"2018-01-05","17"
"2018-01-06","24"
"2018-01-08","9"
"2018-01-09","10"
"2018-01-11","0"
"2018-01-12","2"
"2018-01-13","13"
"2018-01-15","15"
"2018-01-16","0"
"2018-01-18","4"
"2018-01-19","0"
"2018-01-20","15"
"2018-01-22","9"
"2018-01-23","6"
"2018-01-25","7"
"2018-01-26","2"
"2018-01-27","12"
"2018-01-29","17"
"2018-01-30","11"
"2018-02-01","10"
"2018-02-02","0"
"2018-02-03","18"
"2018-02-05","19"
"2018-02-06","8"
"2018-02-08","8"
"2018-02-09","12"
"2018-02-10","11"
"2018-02-12","16"
"2018-02-13","35"
"2018-02-15","16"
"2018-02-16","5"
"2018-02-17","15"
"2018-02-19","24"
"2018-02-20","19"
"2018-02-22","29"
"2018-02-23","10"
"2018-02-24","15"
"2018-02-26","11"
"2018-02-27","6"
"2018-03-01","16"
"2018-03-02","8"
"2018-03-03","11"
"2018-03-04","0"
"2018-03-05","11"
"2018-03-06","14"
"2018-03-07","13"
"2018-03-08","20"
"2018-03-09","14"
"2018-03-10","23"
"2018-03-11","25"
"2018-03-12","18"
"2018-03-13","20"
"2018-03-14","18"
"2018-03-15","26"
"2018-03-16","25"
"2018-03-17","30"
"2018-03-18","33"
"2018-03-20","25"
"2018-03-21","15"
"2018-03-22","25"
"2018-03-23","25"
"2018-03-24","36"
"2018-03-25","36"
"2018-03-26","22"
"2018-03-27","25"
"2018-03-28","35"
"2018-03-29","75"
"2018-03-30","0"
"2018-03-31","125"
"2018-04-03","29"
"2018-04-04","48"
"2018-04-05","50"
"2018-04-06","72"
"2018-04-07","51"
"2018-04-08","40"
"2018-04-09","50"
"2018-04-10","41"
"2018-04-11","47"
"2018-04-12","25"
"2018-04-13","44"
"2018-04-14","0"
"2018-04-15","49"
"2018-04-16","37"
"2018-04-17","31"
"2018-04-18","25"
"2018-04-19","33"
"2018-04-20","34"
"2018-04-21","39"
"2018-04-22","50"
"2018-04-23","39"
"2018-04-24","27"
"2018-04-26","63"
"2018-04-27","47"
"2018-04-28","37"
"2018-04-29","75"
"2018-04-30","66"
"2018-05-01","48"
"2018-05-02","62"
"2018-05-03","68"
"2018-05-04","76"
"2018-05-05","73"
"2018-05-06","52"
"2018-05-07","58"
"2018-05-08","44"
"2018-05-09","98"
"2018-05-10","78"
"2018-05-11","63"
"2018-05-12","65"
"2018-05-13","72"
"2018-05-14","58"
"2018-05-15","69"
"2018-05-16","98"
"2018-05-17","54"
"2018-05-18","83"
"2018-05-19","74"
"2018-05-20","73"
"2018-05-21","98"
"2018-05-22","88"
"2018-05-23","67"
"2018-05-24","100"
"2018-05-25","66"
"2018-05-26","127"
"2018-05-27","97"
"2018-05-28","100"
"2018-05-29","45"
"2018-05-30","93"
"2018-05-31","77"
"2018-06-01","81"
"2018-06-02","98"
"2018-06-03","72"
"2018-06-04","48"
"2018-06-05","90"
"2018-06-06","69"
"2018-06-07","88"
"2018-06-08","82"
"2018-06-09","91"
"2018-06-10","73"
"2018-06-11","98"
"2018-06-12","73"
"2018-06-13","118"
"2018-06-14","122"
"2018-06-15","114"
"2018-06-16","127"
"2018-06-17","100"
"2018-06-18","135"
"2018-06-19","98"
"2018-06-20","78"
"2018-06-21","121"
"2018-06-22","89"
"2018-06-23","100"
"2018-06-24","122"
"2018-06-25","128"
"2018-06-26","98"
"2018-06-27","123"
"2018-06-28","117"
"2018-06-29","75"
"2018-06-30","117"
"2018-07-01","84"
"2018-07-02","99"
"2018-07-03","90"
"2018-07-04","122"
"2018-07-05","123"
"2018-07-06","143"
"2018-07-07","149"
"2018-07-08","75"
"2018-07-09","118"
"2018-07-10","93"
"2018-07-11","118"
"2018-07-12","148"
"2018-07-13","84"
"2018-07-14","99"
"2018-07-15","49"
"2018-07-16","145"
"2018-07-17","76"
"2018-07-18","92"
"2018-07-19","90"
"2018-07-20","69"
"2018-07-21","83"
"2018-07-22","87"
"2018-07-23","97"
"2018-07-24","88"
"2018-07-25","48"
"2018-07-26","80"
"2018-07-27","95"
"2018-07-28","72"
"2018-07-29","74"
"2018-07-30","68"
"2018-07-31","73"
"2018-08-01","108"
"2018-08-02","74"
"2018-08-03","64"
"2018-08-04","94"
"2018-08-05","49"
"2018-08-06","92"
"2018-08-07","95"
"2018-08-08","58"
"2018-08-09","92"
"2018-08-10","71"
"2018-08-11","88"
"2018-08-12","54"
"2018-08-13","98"
"2018-08-14","73"
"2018-08-16","115"
"2018-08-17","95"
"2018-08-18","96"
"2018-08-19","74"
"2018-08-20","93"
"2018-08-21","54"
"2018-08-22","67"
"2018-08-23","56"
"2018-08-24","74"
"2018-08-25","95"
"2018-08-26","61"
"2018-08-27","111"
"2018-08-28","74"
"2018-08-29","71"
"2018-08-30","97"
"2018-08-31","81"
"2018-09-01","76"
"2018-09-02","60"
"2018-09-03","74"
"2018-09-04","96"
"2018-09-05","72"
"2018-09-06","106"
"2018-09-07","74"
"2018-09-08","75"
"2018-09-09","75"
"2018-09-10","112"
"2018-09-11","75"
"2018-09-12","98"
"2018-09-13","91"
"2018-09-14","149"
"2018-09-15","124"
"2018-09-16","99"
"2018-09-17","95"
"2018-09-18","125"
"2018-09-19","140"
"2018-09-20","142"
"2018-09-21","98"
"2018-09-22","100"
"2018-09-23","119"
"2018-09-24","123"
"2018-09-25","97"
"2018-09-26","103"
"2018-09-27","147"
"2018-09-28","125"
"2018-09-29","123"
"2018-09-30","75"
"2018-10-01","122"
"2018-10-02","111"
"2018-10-03","100"
"2018-10-04","136"
"2018-10-05","97"
"2018-10-06","122"
"2018-10-07","75"
"2018-10-08","93"
"2018-10-09","97"
"2018-10-10","104"
"2018-10-11","79"
"2018-10-12","98"
"2018-10-13","114"
"2018-10-14","0"
"2018-10-15","125"
"2018-10-16","75"
"2018-10-17","70"
"2018-10-18","75"
"2018-10-19","73"
"2018-10-20","48"
"2018-10-21","75"
"2018-10-22","94"
"2018-10-23","54"
"2018-10-24","69"
"2018-10-25","42"
"2018-10-26","56"
"2018-10-27","77"
"2018-10-28","15"
"2018-10-29","5"
"2018-10-30","58"
"2018-10-31","75"
"2018-11-01","96"
"2018-11-02","38"
"2018-11-03","38"
"2018-11-04","50"
"2018-11-05","44"
"2018-11-06","25"
"2018-11-07","22"
"2018-11-08","28"
"2018-11-09","21"
"2018-11-10","63"
"2018-11-11","38"
"2018-11-12","30"
"2018-11-13","46"
"2018-11-14","41"
"2018-11-15","20"
"2018-11-16","23"
"2018-11-17","44"
"2018-11-18","49"
"2018-11-19","48"
"2018-11-20","24"
"2018-11-21","24"
"2018-11-22","49"
"2018-11-23","48"
"2018-11-24","24"
"2018-11-25","23"
"2018-11-26","32"
"2018-11-27","20"
"2018-11-28","20"
"2018-11-29","15"
"2018-11-30","18"
"2018-12-01","22"
"2018-12-02","20"
"2018-12-03","24"
"2018-12-04","13"
"2018-12-05","7"
"2018-12-06","27"
"2018-12-07","14"
"2018-12-08","39"
"2018-12-09","36"
"2018-12-10","19"
"2018-12-11","11"
"2018-12-12","14"
"2018-12-13","14"
"2018-12-14","15"
"2018-12-15","30"
"2018-12-16","13"
"2018-12-17","21"
"2018-12-18","14"
"2018-12-19","15"
"2018-12-20","13"
"2018-12-21","20"
"2018-12-22","46"
"2018-12-23","48"
"2018-12-26","41"
"2018-12-27","47"
"2018-12-28","50"
"2018-12-29","74"
"2018-12-30","99"
"2019-01-02","75"
"2019-01-03","25"
"2019-01-04","25"
"2019-01-05","50"
"2019-01-06","51"
"2019-01-07","18"
"2019-01-08","11"
"2019-01-09","8"
"2019-01-10","23"
"2019-01-11","11"
"2019-01-12","15"
"2019-01-13","13"
"2019-01-14","5"
"2019-01-15","25"
"2019-01-16","5"
"2019-01-17","0"
"2019-01-18","15"
"2019-01-19","17"
"2019-01-20","14"
"2019-01-21","7"
"2019-01-22","13"
"2019-01-23","11"
"2019-01-24","12"
"2019-01-25","20"
"2019-01-26","13"
"2019-01-27","6"
"2019-01-28","7"
"2019-01-29","8"
"2019-01-30","9"
"2019-01-31","12"
"2019-02-01","15"
"2019-02-02","25"
"2019-02-03","13"
"2019-02-04","15"
"2019-02-05","19"
"2019-02-06","19"
"2019-02-07","20"
"2019-02-08","13"
"2019-02-09","23"
"2019-02-10","24"
"2019-02-11","15"
"2019-02-12","8"
"2019-02-13","24"
"2019-02-14","21"
"2019-02-15","25"
"2019-02-16","47"
"2019-02-17","47"
"2019-02-18","25"
"2019-02-19","25"
"2019-02-20","25"
"2019-02-21","24"
"2019-02-22","37"
"2019-02-23","50"
"2019-02-24","25"
"2019-02-25","21"
"2019-02-26","23"
"2019-02-27","22"
"2019-02-28","15"
"2019-03-01","25"
"2019-03-02","24"
"2019-03-03","46"
"2019-03-04","22"
"2019-03-05","0"
"2019-03-06","25"
"2019-03-07","24"
"2019-03-08","47"
"2019-03-09","44"
"2019-03-10","26"
"2019-03-11","50"
"2019-03-12","24"
"2019-03-13","23"
"2019-03-14","49"
"2019-03-15","47"
"2019-03-16","75"
"2019-03-17","60"
"2019-03-18","70"
"2019-03-20","75"
"2019-03-21","99"
"2019-03-22","72"
"2019-03-23","74"
"2019-03-24","74"
"2019-03-25","73"
"2019-03-26","76"
"2019-03-27","70"
"2019-03-28","39"
"2019-03-29","86"
"2019-03-30","72"
"2019-03-31","71"
"2019-04-01","67"
"2019-04-02","45"
"2019-04-03","86"
"2019-04-04","59"
"2019-04-05","49"
"2019-04-06","97"
"2019-04-07","75"
"2019-04-08","95"
"2019-04-09","117"
"2019-04-10","100"
"2019-04-11","93"
"2019-04-12","125"
"2019-04-13","75"
"2019-04-14","124"
"2019-04-15","120"
"2019-04-16","99"
"2019-04-17","155"
"2019-04-18","99"
"2019-04-19","100"
"2019-04-20","200"
"2019-04-23","189"
"2019-04-24","121"
"2019-04-26","166"
"2019-04-27","122"
"2019-04-28","99"
"2019-04-29","92"
"2019-04-30","92"
"2019-05-01","82"
"2019-05-02","94"
"2019-05-03","125"
"2019-05-04","159"
"2019-05-05","125"
"2019-05-06","165"
"2019-05-07","150"
"2019-05-08","92"
"2019-05-09","92"
"2019-05-10","93"
"2019-05-11","54"
"2019-05-12","120"
"2019-05-13","119"
"2019-05-14","118"
"2019-05-15","111"
"2019-05-16","138"
"2019-05-17","137"
"2019-05-18","207"
"2019-05-19","199"
"2019-05-20","173"
"2019-05-21","149"
"2019-05-22","136"
"2019-05-23","167"
"2019-05-24","216"
"2019-05-25","225"
"2019-05-26","148"
"2019-05-27","228"
"2019-05-28","149"
"2019-05-29","177"
"2019-05-30","158"
"2019-05-31","146"
"2019-06-02","175"
"2019-06-03","159"
"2019-06-04","113"
"2019-06-05","145"
"2019-06-06","183"
"2019-06-07","163"
"2019-06-08","232"
"2019-06-09","174"
"2019-06-10","169"
"2019-06-11","188"
"2019-06-12","154"
"2019-06-13","179"
"2019-06-14","211"
"2019-06-15","153"
"2019-06-16","163"
"2019-06-17","210"
"2019-06-18","159"
"2019-06-19","223"
"2019-06-20","171"
"2019-06-21","171"
"2019-06-22","137"
"2019-06-23","177"
"2019-06-24","142"
"2019-06-25","149"
"2019-06-26","151"
"2019-06-27","246"
"2019-06-28","180"
"2019-06-29","223"
"2019-06-30","166"
"2019-07-01","221"
"2019-07-02","199"
"2019-07-03","219"
"2019-07-04","197"
"2019-07-05","236"
"2019-07-06","116"
"2019-07-07","145"
"2019-07-08","152"
"2019-07-09","172"
"2019-07-10","134"
"2019-07-11","148"
"2019-07-12","217"
"2019-07-13","220"
"2019-07-14","171"
"2019-07-15","179"
"2019-07-16","132"
"2019-07-17","167"
"2019-07-18","209"
"2019-07-19","166"
"2019-07-20","117"
"2019-07-21","123"
"2019-07-22","132"
"2019-07-23","116"
"2019-07-24","100"
"2019-07-25","182"
"2019-07-26","153"
"2019-07-27","174"
"2019-07-28","171"
"2019-07-29","142"
"2019-07-30","127"
"2019-07-31","69"
"2019-08-01","109"
"2019-08-02","106"
"2019-08-03","149"
"2019-08-04","51"
"2019-08-05","171"
"2019-08-06","122"
"2019-08-07","135"
"2019-08-08","117"
"2019-08-09","162"
"2019-08-10","147"
"2019-08-11","75"
"2019-08-12","147"
"2019-08-13","106"
"2019-08-14","200"
"2019-08-16","161"
"2019-08-17","120"
"2019-08-18","50"
"2019-08-19","116"
"2019-08-20","82"
"2019-08-21","79"
"2019-08-22","100"
"2019-08-23","133"
"2019-08-24","167"
"2019-08-25","47"
"2019-08-26","150"
"2019-08-27","89"
"2019-08-28","116"
"2019-08-29","114"
"2019-08-30","125"
"2019-08-31","165"
"2019-09-01","138"
"2019-09-02","98"
"2019-09-03","138"
"2019-09-04","130"
"2019-09-05","118"
"2019-09-06","146"
"2019-09-07","182"
"2019-09-08","199"
"2019-09-09","193"
"2019-09-10","162"
"2019-09-11","159"
"2019-09-12","180"
"2019-09-13","183"
"2019-09-14","197"
"2019-09-15","135"
"2019-09-16","147"
"2019-09-17","159"
"2019-09-18","157"
"2019-09-19","183"
"2019-09-20","176"
"2019-09-21","217"
"2019-09-22","142"
"2019-09-23","190"
"2019-09-24","134"
"2019-09-25","176"
"2019-09-26","190"
"2019-09-27","204"
"2019-09-28","100"
"2019-09-29","173"
"2019-09-30","168"
"2019-10-01","139"
"2019-10-02","153"
"2019-10-03","95"
"2019-10-04","173"
"2019-10-05","178"
"2019-10-06","101"
"2019-10-07","168"
"2019-10-08","119"
"2019-10-09","189"
"2019-10-10","131"
"2019-10-11","178"
"2019-10-12","159"
"2019-10-13","78"
"2019-10-14","163"
"2019-10-15","106"
"2019-10-16","130"
"2019-10-17","121"
"2019-10-18","125"
"2019-10-19","114"
"2019-10-20","82"
"2019-10-21","123"
"2019-10-22","98"
"2019-10-23","95"
"2019-10-24","119"
"2019-10-25","120"
"2019-10-26","92"
"2019-10-27","72"
"2019-10-28","87"
"2019-10-29","85"
"2019-10-30","45"
"2019-10-31","124"
"2019-11-01","75"
"2019-11-03","75"
"2019-11-04","60"
"2019-11-05","49"
"2019-11-06","40"
"2019-11-07","62"
"2019-11-08","69"
"2019-11-09","72"
"2019-11-10","50"
"2019-11-11","63"
"2019-11-12","24"
"2019-11-13","0"
"2019-11-14","0"
"2019-11-15","0"
"2019-11-16","0"
"2019-11-17","0"
"2019-11-18","19"
"2019-11-19","16"
"2019-11-20","8"
"2019-11-21","14"
"2019-11-22","23"
"2019-11-23","36"
"2019-11-24","19"
"2019-11-25","32"
"2019-11-26","16"
"2019-11-27","15"
"2019-11-28","25"
"2019-11-29","10"
"2019-11-30","16"
"2019-12-01","7"
"2019-12-03","6"
"2019-12-04","10"
"2019-12-05","5"
"2019-12-06","2"
"2019-12-07","14"
"2019-12-08","8"
"2019-12-10","7"
"2019-12-11","9"
"2019-12-13","2"
"2019-12-14","7"
"2019-12-15","9"
"2019-12-16","21"
"2019-12-17","2"
"2019-12-18","0"
"2019-12-19","0"
"2019-12-20","3"
"2019-12-21","2"
"2019-12-22","11"
"2019-12-23","13"
"2019-12-24","8"
"2019-12-26","17"
"2019-12-27","0"
"2019-12-28","37"
"2019-12-29","7"
"2019-12-30","27"
"2019-12-31","4"
